"Course Name","City","Zip","Type","Website","Booking Platform (confirmed)"
"Las Animas Golf Course","Country Club DriveLas Animas","81054","PublicHoles","https://www.facebook.com",""
"Legacy Ridge Golf Course","Legacy Ridge ParkwayWestminster","80031","PublicHoles","https://www.golfwestminster.com",""
"Lincoln Park Golf Course","Mantlo CircleGrand Junction","81501","PublicHoles","https://www.golfgrandjunction.net",""
"Littleton Golf & Tennis Club","S. Federal BoulevardLittleton","80123","PublicHoles","https://www.golf.ssprd.org",""
"Lone Tree Golf Club & Hotel","Sunningdale BoulevardLone Tree","80124","PublicHoles","https://www.golf.ssprd.org",""
"Mariana Butte Golf Course","Clubhouse DriveLoveland","80537","PublicHoles","https://www.golfloveland.com",""
"Maroon Creek Club","Club Circle RoadAspen","81611","PrivateHoles","https://www.mccaspen.com",""
"Meadow Hills Golf Course","S. Dawson StreetAurora","80014","PublicHoles","https://www.golfaurora.com",""
"Meadows Golf Club","Meadows Golf Club DriveLittleton","80127","PublicHoles","https://www.foothillsgolf.org","ForeUp"
"Meeker Golf Course","Meeker","81641","PublicHoles","https://www.facebook.com",""
"Meridian Golf Club","S. Meridian BoulevardEnglewood","80112","PrivateHoles","https://www.meridiangolfclub.com",""
"Monte Vista Country Club","Country Club DriveMonte Vista","81144","PublicHoles","https://www.golfmontevista.com",""
"Mossland Memorial Golf Course","Flagler","80815","PublicHoles","https://www.facebook.com",""
"Mount Massive Golf Course","Leadville","80461","PublicHoles","https://www.mtmassivegolf.com",""
"Mountain Meadows Golf Club","Red Feather Lakes","80545","PublicHoles","https://www.golfpass.com",""
"Mountain Vista Greens Golf Course","N. E. Frontage RoadFort Collins","80524","PublicHoles","https://www.mountainvistagreens.com",""
"Murphy Creek Golf Course","S. Old Tom Morris RoadAurora","80018","PublicHoles","https://www.golfaurora.com",""
"Omni Interlocken Resort Golf Club","Eldorado BoulevardBroomfield","80021","ResortHoles","https://www.omnihotels.com",""
"Overland Park Golf Course","S. HuronDenver","80223","PublicHoles","https://www.cityofdenvergolf.com",""
"Pagosa Springs Golf Club","Pines Club PlacePagosa Springs","81147","PublicHoles","https://www.golfpagosa.com",""
"Park Hill Golf Club","th AvenueDenver","80207","PublicHoles","https://www.denvergov.org",""
"Patty Jewett Golf Course","E. Espanola StreetColorado Springs","80907","PublicHoles","https://www.pattyjewettgolfshop.com","ForeUp"
"Pelican Lakes Golf & Country Club","Pelican Lakes PointWindsor","80550","Semi-PrivateHoles","https://pelicanlakeswindsor.com",""
"Perry Park Country Club","Perry Park BoulevardLarkspur","80118","PrivateHoles","https://www.perryparkcc.com",""
"Pine Creek Golf Club","Divot TrailColorado Springs","80920","PublicHoles","https://www.pinecreekgc.com",""
"Pinehurst Country Club","W. Quincy AvenueDenver","80235","PrivateHoles","https://www.pinehurstcountryclub.com",""
"Pinery Country Club","E. Pinery ParkwayParker","80134","PrivateHoles","https://www.thepinerycc.com",""
"Plainsman Golf Club","Joes","80822","PublicHoles","https://www.facebook.com",""
"Plum Creek Golf Club","Players Club DriveCastle Rock","80104","Semi-PrivateHoles","https://www.golfplumcreek.com",""
"Pole Creek Golf Club","Tabernash","80478","PublicHoles","https://www.polecreekgolf.com",""
"Prairie Golf Course","Cope","80812","PublicHoles","https://coloradoavidgolfer.com",""
"Prairie Pines Golf Club","Snead DriveBurlington","80807","PublicHoles","https://www.facebook.com",""
"Ptarmigan Country Club","Vardon WayFort Collins","80528","PrivateHoles","https://www.ptarmigancc.com",""
"Pueblo Country Club","th AvenuePueblo","81008","PrivateHoles","https://www.pueblocountryclub.com",""
"Quail Dunes Golf Course","Fort Morgan","80701","PublicHoles","https://www.quaildunes.com",""
"Quint Valley Golf Club","Byers","80103","PublicHoles","https://www.facebook.com",""
"Raccoon Creek Golf Course","W. Bowles AvenueLittleton","80123","PublicHoles","https://www.raccooncreek.com",""
"RainDance National Resort & Golf","RainDance National DriveWindsor","80550","Semi-PrivateHoles","https://raindancenational.com",""
"Ranch At Roaring Fork Golf Course","Carbondale","81623","PrivateHoles","https://www.ranchatroaringforkgolfcourse.com",""
"Raven Golf Club At Three Peaks","Golden Eagle RoadSilverthorne","80498","Semi-PrivateHoles","https://www.ravenatthreepeaks.com",""
"Ravenna Country Club","Caretaker RoadLittleton","80125","PrivateHoles","https://www.ravennagolf.com",""
"Red Hawk Ridge Golf Course","Red Hawk Ridge DriveCastle Rock","80109","PublicHoles","https://www.redhawkridge.com","Club Prophet (cps.golf)"
"Red Rocks Country Club","W. Belleview AvenueMorrison","80465","PrivateHoles","https://www.redrockscountryclub.org",""
"Red Sky Golf Club","Red Sky RoadWolcott","81655","ResortHoles","https://www.redskygolfclub.com",""
"Redlands Mesa Golf Club","W. Ridges BoulevardGrand Junction","81507","PublicHoles","https://www.redlandsmesa.com",""
"Rifle Creek Golf Course","Rifle","81650","PublicHoles","https://www.riflecreekgc.com",""
"Rio Grande Club","Rio Grande Club TrailSouth Fork","81154","PublicHoles","https://www.riograndeclubandresort.com",""
"Riverdale Golf Course","Riverdale RoadBrighton","80601","PublicHoles","https://www.riverdalegolf.com","GolfNow/TeeItUp"
"Riverview Golf Course","Sterling","80751","Semi-PrivateHoles","https://www.riverview.golf",""
"Roaring Fork Club","Arbaney Ranch RoadBasalt","81621","PrivateHoles","https://www.roaringforkclub.com",""
"Rocky Ford Country Club","Play Park HillRocky Ford","81067","PublicHoles","https://www.facebook.com",""
"Rollingstone Ranch Golf Club","Steamboat BoulevardSteamboat Springs","80487","PublicHoles","https://www.rollingstoneranchgolf.com",""
"Saddle Rock Golf Course","E. Arapahoe RoadAurora","80016","PublicHoles","https://www.golfaurora.com",""
"Saddleback Golf Club","Frontier St.Firestone","80504","PublicHoles","https://www.saddlebackgolf.com",""
"Saint Andrews At Westcliffe","Copper Gulch RoadWestcliffe","81252","PublicHoles","https://www.facebook.com",""
"Salida Golf Club","Grant StreetSalida","81201","PublicHoles","https://www.salidagolfclub.com",""
"Sanctuary","Daniels Park RoadSedalia","80135","PrivateHoles","https://www.sanctuarygolfcourse.com",""
"Sand Creek Golf Course","Galley RoadColorado Springs","80915","PublicHoles","https://www.worldgolfsandcreek.com",""
"Sedgwick County Golf Course","Julesburg","80737","PublicHoles","https://www.colorado.com",""
"Shining Mountain Golf Club","Shining Mountain LaneWoodland Park","80863","PrivateHoles","https://www.shiningmountaingolfcourse.com",""
"Sky Ranch Golf and Grill","Sterling","80751","PublicHoles","https://www.skyranchgc.com",""
"Smoky River Golf Club","N. Second Street E.Cheyenne Wells","80810","PublicHoles","https://www.facebook.com",""
"Snowmass Club","Snowmass Club CircleSnowmass Village","81615","Semi-PrivateHoles","https://www.snowmassclub.com",""
"Sonnenalp Golf Club","Berry Creek RoadEdwards","81632","PrivateHoles","https://www.sonnenalpclub.com",""
"South Suburban Family Sports Center","S. Peoria StreetCentennial","80112","PublicHoles","https://www.ssprd.org",""
"South Suburban Golf Course","S. Colorado BoulevardCentennial","80122","PublicHoles","https://golf.ssprd.org",""
"Southglenn Country Club","E. Easter AvenueCentennial","80122","PublicHoles","https://www.southglenncc.com",""
"Southridge Golf Course","S. Lemay AvenueFort Collins","80525","PublicHoles","https://www.fcgov.com",""
"Spreading Antlers Golf Course","Lamar","81052","PublicHoles","https://www.golflamar.com",""
"Spring Valley Golf Club","Elizabeth","80107","PublicHoles","https://www.springvalleygolf.com","GolfNow/TeeItUp"
"Springfield Municipal Golf Course","Country Road DdSpringfield","81073","PublicHoles","https://www.bacacountyco.gov",""
"Springhill Golf Course","N. Telluride StreetAurora","80011","PublicHoles","https://www.golfaurora.com",""
"Steamboat Golf Club","Steamboat Springs","80487","Semi-PrivateHoles","https://www.steamboatgolfclub.com","GolfNow/TeeItUp"
"Stoney Creek Golf Course","th AvenueArvada","80005","PublicHoles","https://www.stoneycreekgolfcourse.com",""
"Stratton Golf Course","Stratton Golf CourseFirst Street and Wyoming AvenueStratton","80836","PublicHoles","https://www.stratton.com",""
"Sumo Golf Village","Gary Player DriveFlorence","81226","PublicHoles","https://www.sumogolfcourse.com",""
"Sunset Golf Course","Longs Peak AvenueLongmont","80501","PublicHoles","https://www.golflongmont.com",""
"Tamarack Golf Course","Limon","80828","PublicHoles","https://townoflimon.com",""
"Telluride Ski & Golf Club","Mountain Village BoulevardTelluride","81435","ResortHoles","https://www.tellurideskiandgolfclub.com",""
"The Bridges","Bridges CircleMontrose","81401","Semi-PrivateHoles","https://www.montrosebridges.com",""
"The Club At Crested Butte","Country Club DriveCrested Butte","81224","PrivateHoles","https://www.theclubatcrestedbutte.com",""
"The Club At Flying Horse","Weiskopf PointColorado Springs","80921","PrivateHoles","https://www.flyinghorseclub.com",""
"The Club at Inverness","Inverness Drive WestEnglewood","80112","ResortHoles","https://www.invernesshotel.com",""
"The Club At Pradera","Raintree DriveParker","80134","PrivateHoles","https://www.theclubatpradera.com",""
"The Club at Rolling Hills","th AvenueGolden","80401","PrivateHoles","https://www.theclubatrollinghills.org",""
"The Course At Petteys Park","West Mill RoadBrush","80723","PublicHoles","https://www.petteysparkgolf.com",""
"The Fox Hill Club","Longmont","80504","PrivateHoles","https://www.thefoxhillclub.com",""
"The Golf Club At Heather Ridge","E. Iliff AvenueAurora","80014","PublicHoles","https://www.golfclubatheatherridge.net",""
"The Greg Mastriona Golf Courses At Hyland Hills","N. Sheridan BoulevardWestminster","80031","PublicHoles","https://www.golfhylandhills.com",""
"The Links At Cobble Creek","Cobble DriveMontrose","81401","PublicHoles","https://www.cobblecreek.com",""
"The Links Golf Course","E. Gleneagles Village ParkwayHighlands Ranch","80130","PublicHoles","https://thelinksgolfcourse.com",""
"The Mad Russian Golf Course","Country Club ParkwayMilliken","80543","PublicHoles","https://www.madrussiangolf.com",""
"The Olde Course At Loveland","th StreetLoveland","80538","PublicHoles","https://www.cityofloveland.org",""
"The Ranch Country Club","Tejon StreetWestminster","80234","PrivateHoles","https://www.theranchcc.com",""
"The Ranch Course At Keystone","Keystone Ranch RoadKeystone","80435","ResortHoles","https://www.golfkeystone.com",""
"The Ridge At Castle Pines North","Castle Pines ParkwayCastle Rock","80108","PublicHoles","https://www.playtheridge.com",""
"The River Course At Keystone","River Course DriveKeystone","80435","ResortHoles","https://www.golfkeystone.com",""
"Thorncreek Golf Club","Washington StreetThornton","80241","PublicHoles","https://www.thorncreekgc.com",""
"Tiara Rado Golf Course","S. BroadwayGrand Junction","81507","PublicHoles","https://www.golfgrandjunction.net",""
"Todd Creek Golf Club","Heritage DriveThornton","80602","PublicHoles","https://www.toddcreekgolfclub.com","ForeUp"
"TPC Colorado","TPC ParkwayBerthoud","80513","PrivateHoles","https://www.tpc.com",""
"Trinidad Golf Course","Nolan DriveTrinidad","81082","PublicHoles","https://www.trinidadgolfcourse.com",""
"Twin Peaks Golf Course","Cornell DriveLongmont","80503","PublicHoles","https://www.golflongmont.com",""
"University of Denver Golf Club at Highlands Ranch","Creekside WayHighlands Ranch","80129","Semi-PrivateHoles","https://highlandsranchgolf.du.edu",""
"Ute Creek Golf Course","Ute Creek DriveLongmont","80504","PublicHoles","https://www.golflongmont.com",""
"Vail Golf Club","Sunburst Dr.Vail","81657","PublicHoles","https://www.vailgolfclub.net","GolfNow/TeeItUp"
"Valley Country Club","Country Club DriveCentennial","80016","PrivateHoles","https://www.valleycountryclub.org",""
"Valley Hi Golf Course","S. Chelton RoadColorado Springs","80910","PublicHoles","https://coloradosprings.gov",""
"Walking Stick Golf Course","Walking Stick BoulevardPueblo","81001","PublicHoles","https://www.walkingstickpueblo.com",""
"Walnut Creek Golf Preserve","Westmoor DriveWestminster","80021","PublicHoles","https://www.golfwestminster.com",""
"Walsenburg Golf Course","Walsenburg","81089","PublicHoles","https://www.golfwalsenburg.com",""
"Washington County Golf Club","Akron","80720","PublicHoles","https://www.facebook.com",""
"Wellshire Golf Course","S. Colorado BoulevardDenver","80222","PublicHoles","https://www.cityofdenvergolf.com",""
"West Woods Golf Club","Quaker StreetArvada","80007","PublicHoles","https://www.westwoodsgolf.com",""
"Willis Case Golf Course","Vrain StreetDenver","80212","PublicHoles","https://www.denvergov.org",""
"Wray Country Club","Wray","80758","PublicHoles","https://www.facebook.com",""
"Yampa Valley Golf Course","Craig","81626","PublicHoles","https://www.yampavalleygolfcourse.com",""
