Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
The River Club,,Bradenton,,Semi-Private,https://riverclub.golf,teeitup,https://the-river-club.book.teeitup.com/,yes,high,Link target on riverclub.golf | Region: Southwest FL | Phone: (941) 751-4211
Timber Creek Golf Course,,Bradenton,,Public,,,,no,medium,"TeeItUp slug resolves to live SPA but course identity not confirmed; no working Bradenton website found | Region: Southwest FL | 2026-08-19 dark-course audit: phone / walk-on only, no online booking. Par-3 inside the Timber Creek condo community; site has no booking link, phone only."
Waterlefe Golf & River Club,,Bradenton,,Semi-Private,https://waterlefegolfandriverclub.com,teeitup,https://waterlefe-golf-and-river-club.book.teeitup.com/,yes,high,"waterlefegolfclub.com and waterlefegolf.com resolve but block crawlers (robots/timeout), so identity and booking engine unconfirmed; TeeItUp slugs waterlefe and waterlefe-golf-club do not exist; WebFetch quota exhausted (429) | Region: Southwest FL | Research 2026-07-29: Booking link published on the club's own site"
Brooksville Country Club,,Brooksville,,Semi-Private,https://brooksvillecc.com,,,no,,All 'Book a Tee Time' buttons on brooksvillecc.com are tel: links to (352) 796-8879. No booking engine referenced anywhere on the site. | Region: Tampa Bay | Phone: (352) 796-8879
Cabot Citrus Farms - Karoo,,Brooksville,,Resort,https://cabot.com/citrusfarms,other:native,https://cabot.com/citrusfarms/book-now/,yes,high,"cabotcitrusfarms.com 302-redirects to cabot.com/citrusfarms; every 'Book Now' CTA including on the Karoo course page targets this URL. JS-rendered engine, no separable third-party booking domain exposed. | Region: Tampa Bay"
Cabot Citrus Farms - Roost,,Brooksville,,Resort,https://cabot.com/citrusfarms,other:native,https://cabot.com/citrusfarms/book-now/,yes,high,Single resort-wide booking page serves all Cabot Citrus Farms courses; JS-rendered engine with no separable third-party booking domain. | Region: Tampa Bay
Cabot Citrus Farms - The Squeeze,,Brooksville,,Resort,https://cabot.com/citrusfarms,other:native,https://cabot.com/citrusfarms/book-now/,yes,high,10-hole course per the site (not a par-3 course). Same resort-wide booking page; JS-rendered engine. | Region: Tampa Bay
Cabot Citrus Farms - The Wedge,,Brooksville,,Resort,https://cabot.com/citrusfarms,other:native,https://cabot.com/citrusfarms/book-now/,yes,high,11-hole par-3 course per the site. Same resort-wide booking page; JS-rendered engine. | Region: Tampa Bay
Hernando Oaks Golf & Country Club,,Brooksville,,Semi-Private,https://www.hernandooaksgc.com,clubcaddie,https://apimanager-cc31.clubcaddie.com/webapi/view/djedabab,yes,high,Exact link target of the 'Book Tee Time' button on hernandooaksgc.com. | Region: Tampa Bay | Phone: (352) 799-9908
Sherman Hills Golf Club,,Brooksville,,Semi-Private,https://shermanhillsgolf.com,teeitup,https://sherman-hills-golf-club.book.teeitup.com/,yes,high,"Site's /teetimes/ page 403s to bots, but the exact-name TeeItUp subdomain loads a live booking SPA. | Region: Tampa Bay | Phone: (352) 544-0990"
Southern Hills Plantation Club,,Brooksville,,Semi-Private,https://southernhillsplantationclub.com,,,no,,Site describes it as a private membership club with a private Pete Dye course; members and accompanied guests only. No public tee sheet anywhere on the site. Villas are separately bookable but no golf availability engine. | Region: Tampa Bay | Phone: (352) 277-5000
Grand Reserve Golf Club,,Bunnell,,Public,https://capstonegolf.net/grand-reserve-course-information/,foreup,https://foreupsoftware.com/index.php/booking/21473/7866#teetimes,yes,high,"grandreservegolfclub.com redirects to the same-named Puerto Rico resort, not the Bunnell FL course; no FL site confirmed | Region: Northeast FL (Jacksonville) | Phone: (386) 313-2966 | Research 2026-07-29: Operator capstonegolf.net lists this ForeUp sheet; full-service public course"
Cape Royal Golf Club,,Cape Coral,,Semi-Private,https://www.caperoyalgolf.com,other:troon,https://troon.com/course/cape-royal-golf-club/reserve-tee-time,yes,high,TeeItUp subdomain active; unique course name | Region: Southwest FL | 2026-08-19 dark-course audit: left TeeItUp for a platform with no adapter. Public players go to Troon's own engine; members use EZLinks.
Coral Oaks Golf Course,,Cape Coral,,Municipal,https://www.coraloaksgolf.com,teeitup,https://coral-oaks-golf-course.book.teeitup.com/,yes,high,Link target on coraloaksgolf.com book-a-tee-time page | Region: Southwest FL | Phone: (239) 573-3100
Hunters Run Golf Course,,Cape Coral,,Semi-Private,https://www.huntersrungolf.com,,,no,,"No website found; candidate domains and slugs failed | Region: Southwest FL | Research 2026-07-29: Own site: no tee times required, walk-on executive course"
Palmetto-Pine Country Club,,Cape Coral,,Semi-Private,https://www.palmettopinecc.com,teeitup,https://palmetto-pine-country-club.play.teeitup.golf,yes,high,Public booking link on club tee times page | Region: Southwest FL | Phone: (239) 574-2141
St. James Bay Golf Club,,Carrabelle,,Resort,https://www.stjamesbay.com,clubprophet,https://stjamesbay.cps.golf/,yes,high,Exact 'Book Tee Time' target on course site; cps.golf blocks crawlers via robots.txt | Region: Northwest FL (Panhandle) | Phone: (850) 697-9606
Casselberry Golf Club,,Casselberry,,Public,https://www.casselberrygolf.com,foreup,https://foreupsoftware.com/index.php/booking/19650/2084#teetimes,yes,high,Exact link target from course site book-tee-times page | Region: Central FL (Orlando) | Phone: (407) 699-9310
Celebration Golf Club,,Celebration,,Public,https://www.celebrationgolf.com,teeitup,https://celebration-golf-club.book.teeitup.golf/,yes,high,Robert Trent Jones Sr./Jr. design; 701 Golf Park Drive. Public tee times. | Region: Central FL (Orlando) | Phone: (407) 566-4653
Mystic Dunes Golf Club,,Celebration,,Resort,https://www.mysticdunesgolf.com,golfwithaccess,https://golfwithaccess.com/course/mystic-dunes-golf-club/reserve-tee-time?filterFacilities=mystic-dunes-golf-club,yes,high,"Gary Koch design at Mystic Dunes, a Hilton Vacation Club; open to public play. | Region: Central FL (Orlando) | Phone: (407) 787-5678"
ChampionsGate Golf Club - International Course,,ChampionsGate,,Resort,https://www.omnihotels.com/hotels/orlando-championsgate/golf,ezlinks,https://championsgate.ezlinksgolf.com/index.html#/preSearch,yes,high,Public/non-member portal covers National and International courses | Region: Central FL (Orlando) | Phone: (407) 787-4653
ChampionsGate Golf Club - National Course,,ChampionsGate,,Resort,https://www.omnihotels.com/hotels/orlando-championsgate/golf,ezlinks,https://championsgate.ezlinksgolf.com/index.html#/preSearch,yes,high,Exact non-guest portal link on Omni's own golf page; portal 403s to bots. Separate member/Champs Club portals exist. | Region: Central FL (Orlando) | Phone: (407) 787-4653
Champs Par 3 Course at ChampionsGate,,ChampionsGate,,Resort,https://www.omnihotels.com/hotels/orlando-championsgate/golf,ezlinks,https://championsgate.ezlinksgolf.com/index.html#/preSearch,yes,medium,Omni site does not confirm the par-3 is bookable in the online portal; it directs par-3 reservations to the pro shop (888) 558-9301. Portal is bot-blocked. | Region: Central FL (Orlando) | Phone: (407) 787-4653
Chiefland Golf & Country Club,,Chiefland,,Semi-Private,https://www.chieflandgcc.com,teeitup,https://chiefland-golf-country-club.book.teeitup.golf/,yes,high,Booking engine embedded on chieflandgcc.com/book-a-tee-time/ | Region: North Central FL | Phone: (352) 493-2375
Grand Lake Golf Course at Sun Retreats Ocala Orange Lake,,Citra,,Resort,https://www.sunoutdoors.com/florida/sun-retreats-ocala-orange-lake,,,no,,Resort FAQ confirms course is open to the public via day passes but offers no online tee sheet; reservations by phone | Region: North Central FL | Phone: (352) 591-1251
Citrus Springs Golf & Country Club,,Citrus Springs,,Semi-Private,,golfnow,https://www.golfnow.com/tee-times/facility/6647-citrus-springs-country-club/search,yes,high,No official site found; citrusspringsgolf.com is an unrelated non-golf domain; TeeItUp subdomains absent | Region: North Central FL | Phone: (352) 489-5045 | Research 2026-07-29: GolfNow facility 6647 is live and bookable; the club's old domain now hosts an unrelated site
Chi Chi Rodriguez Golf Club,,Clearwater,,Municipal,https://www.chichi.org,ezlinks,https://chichi.ezlinksgolf.com/index.html#/search,yes,high,Exact target of 'Book A Tee Time' CTA on chichi.org. | Region: Tampa Bay | Phone: (727) 726-4673
Clearwater Country Club,,Clearwater,,Semi-Private,https://www.clearwatercountryclub.com,teeitup,https://clearwater-country-club.book.teeitup.com/,yes,high,Subdomain returns a live TeeItUp booking SPA (control slug returns 'Booking Engine Not Found'); club site returned 403 on /tee-times so link target not cross-checked. Phone not published on site. | Region: Tampa Bay
Cove Cay Golf Club,,Clearwater,,Semi-Private,https://covecaygolf.com,teeitup,https://cove-cay-country-club.book.teeitup.com/,yes,high,"Website found at covecaygolf.com; page confirms 2612 Cove Cay Dr, Clearwater FL and links to this booking engine. | Region: Tampa Bay | Phone: (727) 535-1406"
The Landings Golf Club,,Clearwater,,Public,https://thelandingsgc.com,teeitup,https://the-landings-golf-club-of-clearwater.book.teeitup.golf/,yes,high,No website found for the Clearwater FL course; thelandingsgolfclub.com/thelandingsgolf.com do not resolve. landingsgolfclub.com and chronogolf.com/club/the-landings-golf-club are a same-named course in Warner Robins GA. A the-landings-golf-club.book.teeitup.com subdomain exists but identity could not be tied to Clearwater. | Region: Tampa Bay | Research 2026-07-29: Own site lists this reservation link for the public par-63 course
Clerbrook Golf & RV Resort,,Clermont,,Resort,https://www.clerbrook.com,teeitup,https://clerbrook-golf-and-rv-resort.book.teeitup.golf/,yes,high,Exact link target on clerbrook.com. | Region: Central FL (Orlando) | Phone: (352) 394-6165
Clermont National Golf Club,,Clermont,,Semi-Private,https://www.clermontnational.com,teeitup,https://the-grove-at-clermont-national.book.teeitup.com/,yes,high,Public booking portal; separate EZLinks portals serve member tiers only. | Region: Central FL (Orlando) | Phone: (352) 995-9095
Green Valley Country Club,,Clermont,,Semi-Private,https://gvcountryclub.net,teeitup,https://green-valley-country-club.book.teeitup.com/?course=2091,yes,high,Exact link target on gvcountryclub.net; stale date param stripped. | Region: Central FL (Orlando) | Phone: (352) 394-2133
Kings Ridge Golf Club - Kings Course,,Clermont,,Semi-Private,https://www.kingsridgegc.com,teeitup,https://kings-ridge-v2.book.teeitup.com/?course=2035%2C2036,yes,high,One portal covers both courses; site's /book-tee-times/ 302-redirects here. | Region: Central FL (Orlando) | Phone: (352) 242-4653
Kings Ridge Golf Club - Ridge Course,,Clermont,,Semi-Private,https://www.kingsridgegc.com,teeitup,https://kings-ridge-v2.book.teeitup.com/?course=2035%2C2036,yes,high,One portal covers both courses; per-course IDs 2035/2036 not individually labeled. | Region: Central FL (Orlando) | Phone: (352) 242-4653
Legends Golf & Country Club,,Clermont,,Semi-Private,https://www.legendsclermontgolf.com,teeitup,https://legends-golf-and-country-club.book.teeitup.com/,yes,high,Exact link target on legendsclermontgolf.com. | Region: Central FL (Orlando) | Phone: (352) 717-1684
Swiss Fairways Golf Club,,Clermont,,Public,https://swiss-fairways.com,teeitup,https://swiss-fairways-golf-club.book.teeitup.com/?course=2162,yes,high,Exact link target on swiss-fairways.com; stale date param stripped. | Region: Central FL (Orlando) | Phone: (352) 429-9065
Clewiston Golf Course,,Clewiston,,Municipal,https://www.clewiston-fl.gov/184/Golf-Course,,,no,,"No course site found; city site has no golf page | Region: Southwest FL | Research 2026-07-29: City policy page: tee times open to the public, no booking engine"
Cocoa Beach Golf Course,,Cocoa Beach,,Municipal,https://www.cocoabeachgolf.com,golfnow,https://www.golfnow.com/tee-times/facility/6479-cocoa-beach-country-club/search,yes,medium,"cocoabeachgolf.com is robots.txt-blocked so link target could not be read; TeeItUp slug for the 'Cocoa Beach Country Club' alias returns a live booking SPA while 'cocoa-beach-golf-course' returns subdomain-not-found. Phone not obtainable without search. | Region: Space Coast & Treasure Coast | 2026-08-19 dark-course audit: left TeeItUp for golfnow. GolfPass shows live GolfNow deals for the 27-hole city facility, reviews dated late Jul and early Aug 2026."
Coconut Creek Golf Course,,Coconut Creek,,Municipal,https://www.coconutcreek.gov/,,,unknown,,"No golf page on city site; no domain or TeeItUp match | Region: Southeast FL | Phone: (954) 973-8760 | Research 2026-07-29: No source shows a public course by this name in Coconut Creek; the city's only golf is two private clubs, so this row may be a mislabel"
